Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
logistic_regression,NVDA,lr,5,FS_5,0.3603,0.4512,0.3603,0.3333,"94    4    38
35    0    3
195    2    62"
random_forest,NVDA,rf,5,FS_5,0.434,0.5139,0.434,0.4255,"81    2    30
24    0    13
140    14    90"
xgboost,NVDA,xgb,5,FS_5,0.4112,0.513,0.4112,0.3991,"83    3    27
27    0    10
151    14    79"
logistic_regression,QQQ,lr,5,FS_5,0.321,0.4857,0.321,0.3203,"65    9    27
93    41    10
146    9    33"
random_forest,QQQ,rf,5,FS_5,0.3223,0.5706,0.3223,0.267,"61    23    2
70    59    0
139    33    7"
xgboost,QQQ,xgb,5,FS_5,0.236,0.4944,0.236,0.166,"72    8    6
120    9    0
164    3    12"
logistic_regression,MSFT,lr,6,FS_6,0.3279,0.4451,0.3279,0.2658,"90    15    9
72    37    3
152    40    15"
random_forest,MSFT,rf,6,FS_6,0.4213,0.4266,0.4213,0.399,"35    8    58
41    13    50
61    10    118"
xgboost,MSFT,xgb,6,FS_6,0.4036,0.3777,0.4036,0.3669,"28    8    65
42    7    55
56    9    124"
logistic_regression,AAPL,lr,6,FS_6,0.2471,0.3577,0.2471,0.2012,"64    19    23
47    26    0
208    29    17"
random_forest,AAPL,rf,6,FS_6,0.2716,0.3333,0.2716,0.2057,"75    0    11
46    0    25
205    0    32"
xgboost,AAPL,xgb,6,FS_6,0.3325,0.401,0.3325,0.2976,"69    0    17
43    0    28
175    0    62"
logistic_regression,GOOG,lr,6,FS_6,0.4065,0.4108,0.4065,0.3995,"51    14    55
30    23    57
79    22    102"
random_forest,GOOG,rf,6,FS_6,0.302,0.353,0.302,0.227,"87    4    8
94    0    13
156    0    32"
xgboost,GOOG,xgb,6,FS_6,0.2817,0.3438,0.2817,0.2103,"82    3    14
93    1    13
157    3    28"
logistic_regression,META,lr,6,FS_6,0.3603,0.5391,0.3603,0.3483,"60    62    14
24    51    0
103    74    45"
